1,Potion,U1,67,6W,6W,25
1,Firesand,U1,67,67,7S,
1,Wooden Chair,U1,45,4W,4W,
1,Grilled Clam,U1,3W,3W,3W,
1,Necklace,U1,45,5U,5S,
1,Coral Ring,U1,45,4S,4S,
1,Barbut,2S,2S,2S,2S,
1,Macuahuitl,U1,3S,3S,3S,
1,Sauerkraut,U1,67,6W,6W,
1,Baked Pumpkin,U1,45,5U,5W,
1,Tunic,U1,45,5U,5W,
1,Culinary Knife,U1,67,67,7S,
1,Brush,2W,2W,2W,2W,
1,Boiled Egg,U1,67,67,7S,
1,Hora,U1,67,67,7W,
1,Earrings,U1,45,5U,5S,
1,Butter,U1,45,4S,4S,
1,Brick Counter,U1,45,4W,4W,
1,Bronze Sheep,U1,45,4S,4S,
1,Growth Formula,U1,3S,3S,3S,
1,Garnet Rapier,U1,67,67,6S,
1,Spruce Round Shield,U1,45,4W,4W,
1,Shark Oil,U1,67,67,6S,
1,Silver Ear Cuffs,U1,67,67,6S,
1,Sweet Popoto,U1,67,67,7W,
1,Parsnip Salad,2S,2S,2S,2S,
1,Caramels,U1,45,5U,5W,
1,Ribbon,U1,3S,3S,3S,
1,Rope,U1,67,6W,6W,
1,Cavalier's Hat,U1,67,6W,6W,
1,Horn,U1,3W,3W,3W,
1,Salt Cod,U1,67,67,7S,
1,Squid Ink,U1,3W,3W,3W,
1,Essential Draught,U1,3S,3S,3S,
1,Jam,U1,67,67,7W,
1,Tomato Relish,U1,67,67,7S,
1,Onion Soup,2W,2W,2W,2W,
1,Pie,U1,3W,3W,3W,
1,Corn Flakes,2S,2S,2S,2S,
1,Pickled Radish,U1,67,67,7W,
1,Iron Axe,U1,45,4S,4S,
1,Quartz Ring,U1,45,5U,5S,
1,Porcelain Vase,U1,67,67,7W,
1,Vegetable Juice,U1,45,5U,5W,
1,Pumpkin Pudding,2W,2W,2W,2W,
1,Sheepfluff Rug,U1,45,4W,4W,
1,Garden Scythe,2W,2W,2W,2W,
1,Bed,U1,45,5U,5S,
1,Scale Fingers,2S,2S,2S,2S,
1,Crook,U1,67,67,6S,
2,Potion,U1,45,4W,4W,83
2,Firesand,U1,3W,3W,3W,
2,Wooden Chair,U1,67,67,7S,
2,Grilled Clam,U1,3W,3W,3W,
2,Necklace,U1,67,6W,6W,
2,Coral Ring,U1,67,67,7W,
2,Barbut,U1,45,4W,4W,
2,Macuahuitl,U1,3W,3W,3W,
2,Sauerkraut,U1,67,67,6S,
2,Baked Pumpkin,2S,2S,2S,2S,
2,Tunic,U1,45,5U,5S,
2,Culinary Knife,2W,2W,2W,2W,
2,Brush,U1,45,5U,5W,
2,Boiled Egg,U1,67,6W,6W,
2,Hora,U1,3S,3S,3S,
2,Earrings,U1,45,5U,5S,
2,Butter,U1,67,67,7S,
2,Brick Counter,2S,2S,2S,2S,
2,Bronze Sheep,2W,2W,2W,2W,
2,Growth Formula,U1,45,5U,5S,
2,Garnet Rapier,U1,67,67,7S,
2,Spruce Round Shield,U1,45,5U,5W,
2,Shark Oil,2S,2S,2S,2S,
2,Silver Ear Cuffs,U1,67,67,7W,
2,Sweet Popoto,U1,3W,3W,3W,
2,Parsnip Salad,2W,2W,2W,2W,
2,Caramels,U1,67,67,6S,
2,Ribbon,U1,67,67,7W,
2,Rope,2W,2W,2W,2W,
2,Cavalier's Hat,U1,67,6W,6W,
2,Horn,U1,67,67,6S,
2,Salt Cod,U1,67,67,7S,
2,Squid Ink,U1,67,67,6S,
2,Essential Draught,U1,45,4S,4S,
2,Jam,2S,2S,2S,2S,
2,Tomato Relish,U1,67,6W,6W,
2,Onion Soup,U1,67,67,7S,
2,Pie,U1,3S,3S,3S,
2,Corn Flakes,U1,45,4W,4W,
2,Pickled Radish,U1,45,4S,4S,
2,Iron Axe,U1,45,4W,4W,
2,Quartz Ring,U1,45,4S,4S,
2,Porcelain Vase,U1,45,5U,5W,
2,Vegetable Juice,U1,67,67,7W,
2,Pumpkin Pudding,U1,45,4S,4S,
2,Sheepfluff Rug,U1,45,5U,5S,
2,Garden Scythe,U1,67,67,7W,
2,Bed,U1,3S,3S,3S,
2,Scale Fingers,U1,3S,3S,3S,
2,Crook,U1,45,5U,5W,
3,Potion,U1,67,67,7W,31
3,Firesand,U1,67,67,6S,
3,Wooden Chair,U1,45,5U,5S,
